round,player_hand,dealer_hand,actions,reward
285,"2,8,10","3,7,10",2,0
286,"10,10","2,7,10",0,1
287,"10,8,4","3,6,4,9",1,-1
288,"6,8,10","2,3,5,10",1,-1
289,"10,11,6","10,5,10","1,0",1
290,"6,5,2","7,10",2,-1
291,"11,2,10","10,4,2,5",2,-1
292,"8,4,11","7,6,11,9",2,1
293,"10,5,8","10,10",2,-1
294,"8,10,4","9,3,6",1,-1
295,"7,5,4","9,3,10",2,1
296,"10,2,10","6,10,3",2,-1
297,"3,7,10","7,10",2,1
298,"4,10,2","6,3,10",2,-1
299,"4,10,9","10,10",2,-1
300,"4,10,5","10,10",2,-1
301,"10,4,8","11,2,5",2,-1
302,"6,7,10","5,10,10",2,-1
303,"11,4,7","9,6,10",2,1
304,"9,10,5","8,5,3,9",1,-1
305,"10,7,10","6,10,11",1,-1
306,"10,10,7","10,3,11,6",1,-1
307,"9,7,10","10,9",2,-1
308,"10,10,3","10,2,8",1,-1
309,"11,4,9","11,3,10,11,3",2,-1
310,"8,9,9","5,2,2,3,9",1,-1
311,"10,6,3","8,10","3,3,2",1
311,"10,3","8,10","3,3,2",-1
311,"10,4","8,10","3,3,2",-1
312,"5,6","10,11",,-1
313,"11,3,3","10,4,4",2,-1
314,"10,7,2","10,2,5",2,1
315,"2,5,4","8,11",2,-1
316,"9,3,10","10,7",2,-1
317,"6,7","5,10,11,8",0,1
318,"10,2,8","4,11,10,2",2,1
319,"6,2,4","8,5,10",2,1
320,"9,2,4","9,7,10",2,1
321,"2,8,6","7,7,5",2,-1
322,"8,10,10","9,10",1,-1
323,"10,2,4","10,3,10",2,1
324,"6,10,5","10,2,7",2,1
325,"5,2,10","10,7",2,0
326,"3,4,10","9,7,4",2,-1
327,"7,8,4","9,10","3,2",0
327,"7,5","9,10","3,2",-1
328,"6,10,5","5,10,10",1,1
329,"11,10","7,11",0,1
330,"10,3,10","2,3,6,4,10",1,-1
331,"10,7,5","9,8",2,-1
332,"4,11,10","10,8",2,-1
333,"6,9,6","8,5,10",2,1
334,"3,8,8","5,4,4,5",2,1
335,"5,2,10","4,8,3,3",2,-1
336,"10,10,4","10,2,10",1,-1
337,"10,11,8,11,11","10,2,4,3","1,1,1",1
338,"8,10,10","10,3,10",1,-1
339,"8,3,8","9,6,9","3,2",1
339,"8,10","9,6,9","3,2",1
340,"6,10,5","2,9,7",1,1
341,"9,7,2,4","8,9","1,1",-1
342,"10,4,11","6,10,10",2,1
343,"6,2,11","5,10,2",2,1
344,"6,3,10","4,8,7",2,0
345,"11,9","8,3,10","3,0",-1
345,"11,9","8,3,10","3,0",-1
346,"10,6,2","11,6",2,1
347,"9,10","5,3,11",0,0
348,"10,10","6,10,9",0,1
349,"6,8,5","8,4,11,8",2,-1
350,"10,10,5","10,6,10",1,-1
351,"7,5,7","4,10,9",2,1
352,"7,10,3","11,9",2,0
353,"10,7,3","7,2,6,3","1,0",1
354,"11,3,2","8,11",2,-1
355,"11,9","6,6,6",0,1
356,"11,4,4","10,8",2,1
357,"10,10","3,7,4,6",0,0
358,"3,10,10","10,10",2,-1
359,"10,4,10","10,10",2,-1
360,"7,2,2","10,10",2,-1
361,"2,10,10","8,2,11",2,-1
362,"11,10","5,10,10",0,1
363,"2,5,10","9,6,10",2,1
364,"10,9,11,10","10,10","1,1",-1
365,"3,10,2","10,4,5",2,-1
366,"8,2,11","8,10",2,1
367,"10,5,9","5,11,11",1,-1
368,"10,4","10,11",,-1
369,"3,10,7","8,6,10",2,1
370,"6,7,3","5,10,9",2,1
371,"10,10","7,10",0,1
372,"10,2,7","10,10",2,-1
373,"2,10,5","6,5,10",2,-1
374,"7,10,8","8,8,7",1,-1
375,"8,10,4","10,4,6",1,-1
376,"8,10","4,10,6",0,-1
377,"10,3,11","10,8",2,-1
378,"6,10,4","11,6",2,1
379,"4,8,10","9,6,7",2,-1
380,"4,9,3","6,10,10",2,1
381,"5,2,4","10,10",2,-1
382,"4,10,7","5,10,10",1,1
383,"10,5,2","10,6,9",2,1
384,"2,3","10,3,6","3,0",-1
384,"2,2","10,3,6","3,0",-1
385,"4,10,3,2","3,8,4,10","1,1,0",1
386,"10,5,4","8,10",2,1
387,"11,5,3","2,4,10,5","1,0",-1
388,"6,10,9","9,7,10","3,2",-1
388,"6,4","9,7,10","3,2",1
389,"3,11,10,10","3,3,7,10","1,1",-1
390,"4,11,10,10","4,11,10,11,8","1,1",-1
391,"10,5,11","11,9",2,-1
392,"6,10,10","10,10",2,-1
393,"10,10","9,4,6","3,0",1
393,"10,9","9,4,6","3,0",0
394,"8,3,10","8,8,10","3,2",1
394,"8,6","8,8,10","3,2",1
395,"10,7,7","5,11,8,10",1,-1
396,"10,10","2,4,2,4,10",0,1
397,"6,10,10","5,10,3",1,-1
398,"9,5,10","10,9",2,-1
399,"5,8,6","9,6,2",2,1
400,"9,6,11,5","5,3,10","1,1",1
401,"10,5,3","8,10","3,2",0
401,"10,7","8,10","3,2",-1
402,"3,10,2","6,7,2,10",2,1
403,"10,6,10","9,9",2,-1
404,"7,10,8","3,4,3,9",1,-1
405,"5,10,10","5,4,11",1,-1
406,"2,8,2","8,7,11,10",2,1
407,"8,4,10","10,10","3,3,2",-1
407,"8,6","10,10","3,3,2",-1
407,"8,7","10,10","3,3,2",-1
408,"8,10,6","10,9",2,-1
409,"5,10","10,11",,-1
410,"9,10,6","10,6,9",1,-1
411,"9,10,2","7,6,3,10",1,1
412,"10,10","3,9,10",0,1
413,"10,10","4,6,11",0,-1
414,"9,10,3","10,4,8",1,-1
415,"10,5,10","2,6,10",1,-1
416,"11,3,5","6,10,10",2,1
