round,player_hand,dealer_hand,actions,reward
688,"5,10","5,10,9",0,1
689,"9,10","8,2,8",0,1
690,"10,10","7,9,6",0,1
691,"10,10","5,10,11,10",0,1
692,"5,4,11","10,4,7","1,0",-1
693,"10,2,10","11,11,10,6",1,-1
694,"10,10","11,8",0,1
695,"8,4,11","6,9,10",2,1
696,"10,10","4,10,6",0,0
697,"10,2,10","10,4,5",1,-1
698,"4,10","10,11",,-1
699,"3,2,9","3,10,2,10","1,0",1
700,"3,9,4","4,3,3,10",2,-1
701,"10,7,7","6,2,3,11,7",2,-1
702,"9,7","10,10",0,-1
703,"10,3,9","4,5,2,10",2,-1
704,"3,10,10","6,6,5",2,-1
705,"5,2,3,5,5","11,8","1,1,1,0",1
706,"11,3,8","10,9","1,0",-1
707,"10,10","11,9",0,0
708,"9,10","3,2,3,8,5",0,-1
709,"10,10","7,2,10",0,1
710,"6,10,5","2,6,2,9",1,1
