round,player_hand,dealer_hand,actions,result
267,"11,10","11,2,8",0,0
268,"3,4","10,8",0,-1
269,"7,6,3","10,7",2,-1
270,"10,7,4","10,6,10",2,1
271,"11,3,4","10,2,6",2,0
272,"10,9","10,6,10",0,0
273,"8,10,9","11,4,5",2,-1
274,"4,10,10","4,10,4",1,-1
275,"7,10,2","5,10,6","1,0",-1
276,"8,3,3","5,3,3,7",2,-1
277,"4,3","11,5,10,11",0,-1
278,"10,10","10,10",0,0
279,"10,7,10","11,6",2,-1
280,"3,11,2","6,5,8",2,-1
281,"8,9,10","10,7",2,-1
282,"3,7,4","10,6,4",2,-1
283,"8,11","10,10",0,-1
284,"10,5,11,5","2,4,10,10","1,1",1
285,"2,7,10","9,5,3",2,1
286,"10,5,8","3,10,8",1,-1
287,"8,3,6","9,11",2,-1
288,"10,6,7","10,2,8",2,-1
289,"2,3","10,11",,-1
290,"10,5,8","6,6,3,8",1,-1
291,"4,5,10","6,10,11","3,2",1
291,"4,4","6,10,11","3,2",-1
292,"4,7,10","2,4,2,3,7",2,1
293,"6,9,7","7,10",2,-1
294,"10,7,9","4,10,10",1,-1
295,"10,8","10,11",,-1
296,"8,5,6","2,5,9,2","1,0",1
297,"10,6,10","5,7,10",1,-1
298,"10,10","6,3,3,10",0,0
299,"10,5,2,3","3,10,2,8","1,1,0",0
300,"6,10,11,2","4,9,5","1,1,0",1
301,"5,10,5","2,10,8","1,0",0
302,"10,10","4,7,2,10",0,0
303,"9,11","6,10,3",0,1
304,"4,8,7","10,4,9",2,0
305,"2,9,3","5,7,4,2",2,-1
306,"5,6,6","10,9",2,-1
307,"10,8,9","10,6,3",2,-1
308,"10,10","7,8,10",0,0
309,"7,5,10","9,7,9",2,-1
310,"10,10","9,10",0,1
311,"3,8,11","11,5,10,5","3,2",-1
311,"3,10","11,5,10,5","3,2",-1
312,"10,9,9","4,8,10",1,-1
313,"10,10","7,4,10",0,-1
314,"11,10","10,3,7",0,1
315,"2,7,4","10,5,3",2,-1
